item_id,bucket,wins,losses,matches,players,avg_buy_time_s,avg_sell_time_s,avg_buy_time_relative,avg_sell_time_relative,hero_id,matches_per_player,win_rate,sell_minus_buy_s,hero_name,item_name,type
2447176615,0,139711,132917,272628,105735,1250.3697932714174,2274.660595798056,54.280877913574024,83.50709495135618,1,2.578408284863101,0.5124602021802602,1024.2908025266386,Infernus,Enduring Speed,upgrade
2462046703,0,5290,5683,10973,5446,255.67547616877792,1447.6759568204122,10.970158544669397,62.13624816931855,1,2.014873301505692,0.48209240863938757,1192.0004806516342,Infernus,Golden Goose Egg,upgrade
2463960640,0,10890,11709,22599,13237,1698.3666091419975,2579.6019938650306,67.52635600088388,84.67870877928101,1,1.7072599531615924,0.48187972919155714,881.2353847230331,Infernus,Escalating Resilience,upgrade
2480592370,0,158601,140737,299338,115032,1764.9356346337586,2265.3364928909955,71.98041041915653,86.3144560527492,1,2.602215035816121,0.529839178453788,500.4008582572369,Infernus,Ricochet,upgrade
2481177645,0,203,190,393,277,1544.9974554707378,2126.6382978723404,64.53133748481481,76.76225067364344,1,1.4187725631768953,0.5165394402035624,581.6408424016026,Infernus,Hunter's Aura,upgrade
2519598785,0,188292,163822,352114,138209,1924.6334851780957,1994.2627384002278,77.2815906823792,85.97470487065053,1,2.5476922631666534,0.5347472693502673,69.62925322213209,Infernus,Boundless Spirit,upgrade
2533252781,0,3908,3244,7152,4915,2315.631291946309,2557.437125748503,85.1521774412422,87.83561677266052,1,1.4551373346897254,0.546420581655481,241.80583380219423,Infernus,Ethereal Shift,upgrade
2566692615,0,30780,26399,57179,24919,1169.5128106472655,2082.8135106727036,51.15531940574616,80.71978772184796,1,2.2945944861350775,0.5383095192290877,913.3007000254381,Infernus,Healing Booster,upgrade
2603935618,0,131714,127453,259167,99357,803.9043589654547,2356.5268503123175,35.53230736590074,84.20234078309036,1,2.608442283885383,0.508220568205057,1552.6224913468627,Infernus,Healbane,upgrade
2617435668,0,1531,1985,3516,2879,2375.6345278725826,2741.234234234234,84.06778530145803,88.27688343340304,1,1.2212573810350815,0.43543799772468716,365.59970636165144,Infernus,Cursed Relic,upgrade
2678489038,0,159,189,348,265,1512.405172413793,2323.0227272727275,61.140939590163896,78.21925724848963,1,1.3132075471698113,0.45689655172413796,810.6175548589345,Infernus,Hollow Point,upgrade
2717651715,0,269627,260515,530142,170678,1366.0926600797522,2564.8384157679434,59.142150533201615,86.06892635069549,1,3.1060945171609697,0.5085939238920892,1198.7457556881911,Infernus,Superior Duration,upgrade
2739107182,0,57452,60028,117480,54812,1408.0778855975486,2527.354124748491,59.744867226506,84.2110783583902,1,2.1433262789170255,0.48903643173306094,1119.2762391509423,Infernus,Burst Fire,upgrade
2800629741,0,440,562,1002,798,1949.0309381237525,2564.3214285714284,79.91633111283211,87.41538342940657,1,1.255639097744361,0.43912175648702595,615.2904904476759,Infernus,Magic Carpet,upgrade
